From,To,Datetime,Duration(seconds),Cell Tower,ID
349,23,20060601 0008,1634,1,20001
379,364,20060601 0011,640,24,20024
392,27,20060601 0012,1182,29,20029
17,339,20060601 0014,578,23,20023
272,251,20060601 0015,887,29,20029
282,13,20060601 0015,1015,19,20019
28,5,20060601 0045,1175,22,20022
209,71,20060601 0054,1120,28,20028
80,120,20060601 0058,588,11,20011
171,95,20060601 0100,1036,27,20027
25,160,20060601 0101,708,29,20029
96,13,20060601 0102,1008,6,20006
289,2,20060601 0109,1046,11,20011
357,341,20060601 0110,1043,25,20025
358,392,20060601 0113,899,30,20030
399,90,20060601 0118,1008,24,20024
51,56,20060601 0122,1469,26,20026
184,5,20060601 0138,985,13,20013
314,250,20060601 0146,1388,17,20017
356,61,20060601 0147,1333,15,20015
286,92,20060601 0149,1091,11,20011
142,18,20060601 0200,1077,11,20011
83,104,20060601 0203,920,30,20030
81,162,20060601 0204,1110,10,20010
76,71,20060601 0206,1441,29,20029
386,179,20060601 0209,1097,28,20028
219,4,20060601 0214,1096,10,20010
194,291,20060601 0217,847,19,20019
376,20,20060601 0219,1239,13,20013
189,361,20060601 0227,1130,11,20011
335,65,20060601 0233,891,10,20010
392,27,20060601 0235,876,29,20029
146,322,20060601 0242,1076,1,20001
283,37,20060601 0247,497,28,20028
130,14,20060601 0257,800,28,20028
224,71,20060601 0302,449,24,20024
318,229,20060601 0302,1126,11,20011
328,142,20060601 0307,1213,30,20030
386,179,20060601 0314,679,11,20011
108,7,20060601 0333,1403,28,20028
13,199,20060601 0339,879,13,20013
164,38,20060601 0346,1355,30,20030
47,167,20060601 0347,1194,28,20028
45,4,20060601 0355,1314,27,20027
39,23,20060601 0358,902,10,20010
3,200,20060601 0359,1129,30,20030
239,28,20060601 0359,1377,18,20018
335,65,20060601 0405,947,10,20010
337,18,20060601 0407,1213,28,20028
87,255,20060601 0414,1206,11,20011
84,307,20060601 0417,1117,11,20011
180,5,20060601 0420,395,10,20010
326,90,20060601 0421,845,18,20018
94,362,20060601 0424,943,6,20006
68,323,20060601 0426,710,28,20028
269,240,20060601 0450,1087,6,20006
293,51,20060601 0452,1274,22,20022
6,254,20060601 0454,1264,29,20029
281,1,20060601 0502,1116,28,20028
383,5,20060601 0504,1212,10,20010
247,103,20060601 0506,995,22,20022
303,131,20060601 0506,797,26,20026
314,5,20060601 0516,1247,17,20017
0,1,20060601 0519,1835,7,20007
365,91,20060601 0524,1124,21,20021
111,42,20060601 0526,1201,29,20029
209,71,20060601 0526,953,28,20028
157,374,20060601 0541,909,1,20001
107,1,20060601 0559,908,28,20028
47,24,20060601 0603,905,28,20028
202,158,20060601 0606,672,22,20022
102,15,20060601 0609,659,13,20013
347,205,20060601 0615,971,22,20022
380,120,20060601 0616,1022,29,20029
14,130,20060601 0621,712,18,20018
7,253,20060601 0638,1205,29,20029
75,30,20060601 0643,757,17,20017
59,11,20060601 0654,898,11,20011
89,353,20060601 0654,1275,11,20011
291,204,20060601 0701,933,11,20011
125,94,20060601 0709,1453,29,20029
331,78,20060601 0712,1489,28,20028
1,200,20060601 0721,1454,29,20029
301,275,20060601 0730,1825,17,20017
259,148,20060601 0732,779,30,20030
233,42,20060601 0734,970,11,20011
78,52,20060601 0738,677,16,20016
23,92,20060601 0757,1304,11,20011
296,227,20060601 0804,971,11,20011
189,361,20060601 0805,1389,11,20011
385,179,20060601 0808,896,6,20006
35,72,20060601 0810,1122,15,20015
267,387,20060601 0810,1048,30,20030
272,215,20060601 0813,967,11,20011
357,158,20060601 0813,979,25,20025
230,93,20060601 0814,1744,28,20028
307,51,20060601 0814,876,7,20007
236,167,20060601 0815,1226,1,20001
16,8,20060601 0816,1033,11,20011
134,256,20060601 0816,497,27,20027
335,14,20060601 0816,1732,10,20010
283,131,20060601 0817,1468,28,20028
77,5,20060601 0818,987,5,20005
324,120,20060601 0818,809,22,20022
164,55,20060601 0819,1216,30,20030
358,30,20060601 0819,1011,30,20030
88,53,20060601 0820,1405,29,20029
124,9,20060601 0821,1491,1,20001
171,95,20060601 0822,1063,27,20027
194,291,20060601 0822,692,19,20019
225,319,20060601 0823,965,30,20030
377,117,20060601 0823,1584,28,20028
380,120,20060601 0823,696,29,20029
88,79,20060601 0825,1119,29,20029
243,320,20060601 0825,933,1,20001
38,182,20060601 0827,1585,1,20001
157,61,20060601 0828,1186,1,20001
323,68,20060601 0829,942,10,20010
44,174,20060601 0833,1295,21,20021
81,23,20060601 0834,1238,10,20010
17,0,20060601 0835,1449,23,20023
54,264,20060601 0836,1589,29,20029
223,160,20060601 0836,955,30,20030
202,221,20060601 0837,624,22,20022
145,0,20060601 0838,850,29,20029
42,233,20060601 0839,1493,13,20013
188,70,20060601 0839,1284,29,20029
75,30,20060601 0843,1146,17,20017
377,117,20060601 0843,1321,8,20008
111,42,20060601 0844,939,29,20029
120,173,20060601 0844,1458,29,20029
97,5,20060601 0845,937,22,20022
239,247,20060601 0845,1442,18,20018
205,19,20060601 0846,925,29,20029
369,320,20060601 0846,853,22,20022
144,23,20060601 0847,697,16,20016
231,92,20060601 0848,678,28,20028
102,15,20060601 0849,964,13,20013
277,9,20060601 0849,1597,28,20028
385,90,20060601 0849,1350,6,20006
167,47,20060601 0853,1344,15,20015
130,111,20060601 0854,405,28,20028
240,95,20060601 0854,1093,30,20030
266,389,20060601 0854,1090,11,20011
379,317,20060601 0854,963,24,20024
117,377,20060601 0855,675,28,20028
307,51,20060601 0855,792,7,20007
85,126,20060601 0857,416,30,20030
55,164,20060601 0858,1141,20,20020
97,5,20060601 0902,1662,22,20022
288,2,20060601 0902,423,30,20030
377,92,20060601 0902,516,28,20028
382,17,20060601 0905,654,15,20015
223,20,20060601 0906,873,30,20030
371,1,20060601 0907,1288,22,20022
380,363,20060601 0908,687,29,20029
313,97,20060601 0910,1267,28,20028
351,38,20060601 0911,1012,28,20028
63,15,20060601 0912,1227,11,20011
14,39,20060601 0913,790,18,20018
191,120,20060601 0914,598,22,20022
339,26,20060601 0914,1057,30,20030
9,18,20060601 0915,1107,25,20025
110,117,20060601 0915,1233,30,20030
24,229,20060601 0917,1276,30,20030
176,148,20060601 0917,1581,18,20018
235,158,20060601 0917,1056,23,20023
252,54,20060601 0917,745,29,20029
325,120,20060601 0917,1310,18,20018
384,189,20060601 0918,1195,29,20029
323,68,20060601 0919,660,28,20028
182,13,20060601 0920,1338,29,20029
170,270,20060601 0921,1475,23,20023
265,24,20060601 0921,1101,29,20029
131,23,20060601 0923,1307,22,20022
174,369,20060601 0923,1112,30,20030
358,103,20060601 0923,1515,30,20030
388,19,20060601 0923,1063,11,20011
285,8,20060601 0924,1138,30,20030
383,92,20060601 0924,707,10,20010
385,179,20060601 0924,1329,6,20006
231,267,20060601 0929,689,29,20029
246,5,20060601 0929,984,17,20017
18,249,20060601 0931,1026,20,20020
240,95,20060601 0932,1207,30,20030
108,13,20060601 0933,1171,28,20028
211,97,20060601 0934,1441,15,20015
167,290,20060601 0937,936,15,20015
296,227,20060601 0937,1412,11,20011
218,97,20060601 0938,1283,30,20030
316,52,20060601 0938,1262,18,20018
56,51,20060601 0940,1488,28,20028
6,5,20060601 0942,1302,29,20029
5,200,20060601 0944,1533,29,20029
48,2,20060601 0945,1173,28,20028
297,15,20060601 0945,1312,22,20022
285,77,20060601 0946,1472,30,20030
121,21,20060601 0947,918,28,20028
245,1,20060601 0947,1469,22,20022
373,41,20060601 0947,1323,29,20029
285,8,20060601 0950,887,30,20030
103,137,20060601 0954,1187,18,20018
22,26,20060601 0958,1109,24,20024
110,148,20060601 0959,998,30,20030
1,2,20060601 1000,897,29,20029
1,3,20060601 1000,915,29,20029
1,5,20060601 1000,1283,29,20029
217,192,20060601 1000,988,6,20006
373,61,20060601 1000,1561,29,20029
123,30,20060601 1001,1571,25,20025
114,87,20060601 1002,648,1,20001
168,2,20060601 1003,1058,24,20024
301,275,20060601 1003,207,17,20017
329,152,20060601 1003,1081,11,20011
304,4,20060601 1006,763,11,20011
177,75,20060601 1008,1430,22,20022
291,204,20060601 1009,711,28,20028
243,146,20060601 1010,948,1,20001
269,240,20060601 1010,1316,11,20011
311,1,20060601 1010,1716,25,20025
26,49,20060601 1011,1145,11,20011
303,13,20060601 1013,1073,26,20026
135,12,20060601 1014,1540,28,20028
211,15,20060601 1014,415,15,20015
328,3,20060601 1014,632,30,20030
245,195,20060601 1015,703,22,20022
116,16,20060601 1017,1383,30,20030
351,38,20060601 1017,777,28,20028
41,136,20060601 1019,1123,11,20011
50,68,20060601 1019,1127,11,20011
116,16,20060601 1019,1088,30,20030
63,1,20060601 1021,1189,11,20011
237,206,20060601 1021,579,20,20020
363,134,20060601 1022,885,29,20029
120,140,20060601 1023,1061,28,20028
111,41,20060601 1024,1655,29,20029
26,147,20060601 1028,1368,11,20011
366,5,20060601 1028,577,7,20007
170,190,20060601 1033,863,23,20023
11,20,20060601 1034,1670,30,20030
15,80,20060601 1034,988,7,20007
96,23,20060601 1034,1059,5,20005
251,9,20060601 1034,613,28,20028
328,3,20060601 1034,1575,30,20030
302,334,20060601 1037,1014,11,20011
366,5,20060601 1037,1341,7,20007
200,1,20060601 1040,270,29,20029
294,30,20060601 1040,1167,22,20022
26,49,20060601 1042,1275,11,20011
307,51,20060601 1042,1045,7,20007
25,14,20060601 1044,1186,29,20029
63,15,20060601 1044,817,11,20011
43,14,20060601 1047,720,15,20015
275,251,20060601 1047,770,30,20030
76,71,20060601 1048,1429,29,20029
228,92,20060601 1048,1245,13,20013
256,1,20060601 1048,1057,20,20020
328,142,20060601 1048,753,30,20030
142,18,20060601 1050,1003,11,20011
310,61,20060601 1051,846,22,20022
78,24,20060601 1052,1190,16,20016
52,316,20060601 1053,835,18,20018
174,221,20060601 1053,1687,30,20030
329,152,20060601 1053,971,28,20028
97,5,20060601 1059,729,22,20022
114,5,20060601 1059,1305,1,20001
136,60,20060601 1100,1211,10,20010
197,368,20060601 1100,1021,29,20029
103,274,20060601 1101,1394,18,20018
333,41,20060601 1101,1483,8,20008
31,5,20060601 1104,1468,30,20030
47,231,20060601 1104,700,28,20028
51,275,20060601 1104,1330,26,20026
77,5,20060601 1104,1721,11,20011
15,72,20060601 1105,837,7,20007
137,103,20060601 1105,933,11,20011
189,90,20060601 1105,1317,29,20029
242,46,20060601 1106,1227,11,20011
246,5,20060601 1106,869,17,20017
248,336,20060601 1106,1345,16,20016
371,60,20060601 1106,1086,22,20022
11,59,20060601 1107,1024,30,20030
72,15,20060601 1107,788,17,20017
259,148,20060601 1108,583,21,20021
288,2,20060601 1108,1260,30,20030
126,85,20060601 1109,1012,8,20008
53,233,20060601 1114,1483,28,20028
54,252,20060601 1114,356,29,20029
63,15,20060601 1115,1178,11,20011
88,53,20060601 1117,1575,29,20029
120,191,20060601 1117,1232,28,20028
107,1,20060601 1118,897,28,20028
242,46,20060601 1119,1275,11,20011
19,40,20060601 1123,934,30,20030
120,80,20060601 1123,1270,29,20029
38,164,20060601 1124,1413,1,20001
282,13,20060601 1125,1220,8,20008
54,264,20060601 1127,1107,19,20019
124,2,20060601 1127,780,1,20001
63,1,20060601 1129,707,29,20029
93,62,20060601 1131,1320,29,20029
160,6,20060601 1133,1307,22,20022
82,71,20060601 1134,677,15,20015
92,20,20060601 1134,881,30,20030
353,154,20060601 1134,768,28,20028
342,158,20060601 1135,1440,29,20029
124,2,20060601 1137,961,1,20001
283,37,20060601 1138,305,28,20028
198,279,20060601 1139,1038,6,20006
267,387,20060601 1139,992,30,20030
107,5,20060601 1140,934,28,20028
311,1,20060601 1140,1098,25,20025
327,112,20060601 1141,782,25,20025
175,395,20060601 1142,698,30,20030
329,152,20060601 1142,1281,11,20011
26,339,20060601 1144,379,11,20011
219,4,20060601 1146,1770,1,20001
230,8,20060601 1146,1222,28,20028
363,134,20060601 1146,681,29,20029
241,80,20060601 1147,940,29,20029
334,1,20060601 1149,1451,11,20011
395,175,20060601 1149,980,11,20011
293,51,20060601 1150,638,22,20022
246,16,20060601 1151,1060,17,20017
192,151,20060601 1152,1045,29,20029
103,82,20060601 1154,1471,18,20018
110,83,20060601 1154,883,30,20030
316,5,20060601 1154,1176,18,20018
340,0,20060601 1155,1106,11,20011
213,287,20060601 1156,866,25,20025
116,1,20060601 1157,1401,30,20030
236,13,20060601 1157,1196,1,20001
280,41,20060601 1202,1406,29,20029
229,264,20060601 1203,932,15,20015
374,157,20060601 1203,1053,13,20013
236,167,20060601 1205,586,1,20001
323,367,20060601 1206,765,28,20028
126,42,20060601 1207,1567,8,20008
132,258,20060601 1207,1196,22,20022
342,1,20060601 1207,903,29,20029
153,1,20060601 1208,1364,10,20010
124,2,20060601 1209,1650,1,20001
163,56,20060601 1209,1170,22,20022
24,78,20060601 1210,870,30,20030
320,369,20060601 1210,1646,28,20028
233,53,20060601 1211,1018,11,20011
297,15,20060601 1211,1545,22,20022
272,251,20060601 1213,1234,11,20011
348,163,20060601 1217,1162,20,20020
173,40,20060601 1218,568,29,20029
48,154,20060601 1221,1250,28,20028
283,131,20060601 1222,865,11,20011
316,5,20060601 1224,1001,18,20018
256,1,20060601 1226,1142,20,20020
317,30,20060601 1226,1153,30,20030
172,297,20060601 1228,649,29,20029
191,120,20060601 1228,917,22,20022
128,14,20060601 1230,757,11,20011
12,46,20060601 1232,1538,11,20011
102,305,20060601 1232,644,13,20013
198,66,20060601 1235,911,6,20006
357,158,20060601 1235,1449,25,20025
188,29,20060601 1236,1301,29,20029
321,138,20060601 1236,1205,16,20016
370,49,20060601 1236,1074,1,20001
100,23,20060601 1238,147,30,20030
221,202,20060601 1241,645,20,20020
81,23,20060601 1243,1336,10,20010
176,148,20060601 1243,999,18,20018
221,174,20060601 1243,979,20,20020
338,158,20060601 1243,686,15,20015
351,44,20060601 1243,907,28,20028
56,51,20060601 1244,1398,22,20022
72,35,20060601 1244,1382,17,20017
230,93,20060601 1247,1657,28,20028
364,260,20060601 1247,443,24,20024
50,34,20060601 1250,1179,11,20011
205,347,20060601 1250,246,28,20028
284,260,20060601 1251,894,22,20022
123,19,20060601 1254,1160,25,20025
277,9,20060601 1254,881,28,20028
273,0,20060601 1255,1162,29,20029
133,21,20060601 1256,778,13,20013
336,6,20060601 1257,743,30,20030
341,0,20060601 1300,1038,20,20020
12,135,20060601 1301,1019,29,20029
237,1,20060601 1301,859,20,20020
373,61,20060601 1301,1118,11,20011
380,120,20060601 1301,1890,29,20029
223,160,20060601 1306,783,30,20030
2,200,20060601 1307,913,29,20029
34,325,20060601 1307,1364,15,20015
152,69,20060601 1307,1364,29,20029
0,175,20060601 1308,1457,7,20007
399,3,20060601 1310,859,20,20020
94,1,20060601 1311,1524,6,20006
399,90,20060601 1311,1587,24,20024
87,35,20060601 1312,836,11,20011
117,377,20060601 1312,828,11,20011
142,81,20060601 1314,1061,29,20029
164,55,20060601 1314,795,30,20030
303,131,20060601 1314,789,26,20026
277,9,20060601 1315,701,28,20028
144,149,20060601 1316,1530,16,20016
349,23,20060601 1316,1195,1,20001
72,15,20060601 1317,1391,17,20017
230,8,20060601 1317,731,28,20028
20,223,20060601 1318,1418,30,20030
327,112,20060601 1318,826,25,20025
182,38,20060601 1319,1542,28,20028
247,239,20060601 1319,779,22,20022
168,2,20060601 1320,706,22,20022
276,360,20060601 1322,1149,29,20029
243,19,20060601 1326,1320,1,20001
380,363,20060601 1326,447,29,20029
281,1,20060601 1327,702,28,20028
313,162,20060601 1331,725,28,20028
350,382,20060601 1331,1384,24,20024
44,74,20060601 1333,1161,21,20021
103,274,20060601 1335,1423,18,20018
121,8,20060601 1335,1166,28,20028
237,206,20060601 1335,894,20,20020
52,253,20060601 1336,1092,18,20018
110,117,20060601 1336,531,30,20030
311,37,20060601 1336,747,25,20025
345,283,20060601 1336,1118,1,20001
55,38,20060601 1337,1183,20,20020
326,5,20060601 1338,1102,18,20018
376,20,20060601 1339,773,13,20013
48,2,20060601 1340,938,28,20028
88,53,20060601 1342,987,29,20029
117,12,20060601 1344,1205,28,20028
144,149,20060601 1344,1278,16,20016
320,243,20060601 1344,1417,29,20029
113,5,20060601 1345,1178,30,20030
338,332,20060601 1345,638,15,20015
95,19,20060601 1349,1489,27,20027
273,162,20060601 1349,1208,29,20029
336,248,20060601 1349,1128,30,20030
336,6,20060601 1350,1015,30,20030
357,341,20060601 1350,828,25,20025
91,13,20060601 1351,582,30,20030
188,29,20060601 1351,147,28,20028
365,62,20060601 1354,1054,21,20021
366,30,20060601 1354,1443,7,20007
99,56,20060601 1355,1450,28,20028
381,199,20060601 1355,986,29,20029
162,17,20060601 1356,1354,30,20030
207,162,20060601 1356,1265,30,20030
369,320,20060601 1356,1682,22,20022
53,233,20060601 1401,1663,28,20028
235,158,20060601 1402,1065,23,20023
23,39,20060601 1404,1009,11,20011
66,14,20060601 1404,1496,28,20028
118,359,20060601 1404,1438,30,20030
248,0,20060601 1404,1116,15,20015
395,175,20060601 1405,1027,11,20011
172,297,20060601 1406,1094,29,20029
111,41,20060601 1407,1022,29,20029
131,11,20060601 1409,1162,22,20022
167,236,20060601 1409,1425,15,20015
126,213,20060601 1411,1324,8,20008
374,157,20060601 1412,1598,13,20013
351,44,20060601 1413,693,28,20028
162,17,20060601 1416,536,30,20030
224,34,20060601 1416,1051,24,20024
13,394,20060601 1418,834,13,20013
157,61,20060601 1419,973,1,20001
338,332,20060601 1419,1721,15,20015
71,5,20060601 1420,679,28,20028
94,1,20060601 1420,1397,6,20006
178,133,20060601 1420,1539,11,20011
383,92,20060601 1420,1284,10,20010
23,115,20060601 1421,1449,11,20011
114,87,20060601 1423,432,1,20001
20,223,20060601 1424,1604,30,20030
31,5,20060601 1425,905,30,20030
71,224,20060601 1425,881,28,20028
187,66,20060601 1425,1115,30,20030
264,54,20060601 1426,717,29,20029
27,257,20060601 1427,930,25,20025
217,129,20060601 1428,745,6,20006
337,41,20060601 1428,930,28,20028
396,81,20060601 1432,1679,18,20018
20,132,20060601 1433,828,30,20030
133,178,20060601 1437,1141,13,20013
11,29,20060601 1438,1179,30,20030
337,41,20060601 1438,1264,28,20028
293,305,20060601 1439,1415,22,20022
104,83,20060601 1440,1176,26,20026
243,320,20060601 1440,1198,1,20001
384,189,20060601 1440,562,29,20029
350,19,20060601 1441,985,24,20024
27,392,20060601 1443,1113,25,20025
133,70,20060601 1444,1215,13,20013
365,62,20060601 1446,1429,21,20021
240,95,20060601 1447,1195,30,20030
20,66,20060601 1448,644,30,20030
246,16,20060601 1448,1283,17,20017
320,369,20060601 1448,333,28,20028
7,108,20060601 1450,1198,29,20029
168,2,20060601 1450,1055,22,20022
22,19,20060601 1452,833,24,20024
296,217,20060601 1452,1036,11,20011
321,3,20060601 1452,938,16,20016
24,78,20060601 1453,658,30,20030
378,0,20060601 1453,850,30,20030
386,247,20060601 1453,1439,11,20011
259,148,20060601 1454,931,30,20030
336,6,20060601 1455,628,30,20030
76,52,20060601 1456,790,29,20029
110,117,20060601 1456,1082,30,20030
220,186,20060601 1456,965,24,20024
320,243,20060601 1456,1350,28,20028
382,17,20060601 1458,1484,15,20015
330,275,20060601 1500,1139,27,20027
354,25,20060601 1500,901,30,20030
109,0,20060601 1501,845,11,20011
266,190,20060601 1501,1129,11,20011
294,87,20060601 1501,1714,22,20022
53,36,20060601 1502,879,28,20028
299,52,20060601 1504,452,29,20029
126,42,20060601 1505,1150,8,20008
272,251,20060601 1505,1092,11,20011
162,207,20060601 1507,1458,30,20030
252,49,20060601 1507,704,29,20029
278,239,20060601 1507,989,23,20023
287,213,20060601 1507,1220,11,20011
321,3,20060601 1507,954,16,20016
282,13,20060601 1508,797,19,20019
112,341,20060601 1509,1356,18,20018
216,1,20060601 1509,1400,29,20029
170,270,20060601 1510,879,23,20023
337,41,20060601 1510,1279,28,20028
363,380,20060601 1513,1294,29,20029
121,8,20060601 1517,1069,28,20028
38,1,20060601 1518,1089,1,20001
48,395,20060601 1518,1225,28,20028
338,158,20060601 1522,614,15,20015
338,158,20060601 1522,899,15,20015
3,31,20060601 1526,1193,30,20030
250,13,20060601 1526,362,29,20029
366,30,20060601 1526,1148,7,20007
312,275,20060601 1527,1033,29,20029
123,212,20060601 1528,617,25,20025
86,1,20060601 1529,1069,7,20007
341,357,20060601 1529,1197,20,20020
295,3,20060601 1530,1410,30,20030
368,196,20060601 1530,1788,11,20011
292,1,20060601 1531,1166,13,20013
180,93,20060601 1532,1429,10,20010
67,19,20060601 1533,1468,16,20016
274,172,20060601 1533,1660,10,20010
2,34,20060601 1534,549,11,20011
103,137,20060601 1534,1017,18,20018
359,118,20060601 1534,1170,21,20021
347,113,20060601 1535,1800,22,20022
11,29,20060601 1536,1499,30,20030
95,240,20060601 1536,1460,27,20027
144,149,20060601 1536,927,17,20017
265,32,20060601 1538,1240,29,20029
45,4,20060601 1539,680,27,20027
53,36,20060601 1539,519,28,20028
156,101,20060601 1540,1012,20,20020
332,0,20060601 1540,755,11,20011
97,20,20060601 1541,1048,22,20022
129,21,20060601 1541,1529,28,20028
305,102,20060601 1541,1343,6,20006
28,239,20060601 1542,1046,22,20022
235,161,20060601 1542,252,23,20023
228,3,20060601 1543,1268,13,20013
372,66,20060601 1545,998,27,20027
168,130,20060601 1547,1210,22,20022
285,8,20060601 1547,1511,30,20030
180,5,20060601 1551,1342,10,20010
277,9,20060601 1551,901,28,20028
218,15,20060601 1552,1067,30,20030
221,174,20060601 1552,1346,20,20020
310,54,20060601 1554,1260,20,20020
40,19,20060601 1556,1068,24,20024
85,156,20060601 1557,993,30,20030
284,260,20060601 1557,1394,22,20022
314,250,20060601 1557,793,17,20017
176,54,20060601 1558,1247,18,20018
378,275,20060601 1559,977,30,20030
395,48,20060601 1601,898,11,20011
199,13,20060601 1602,923,14,20014
60,55,20060601 1605,1207,20,20020
260,24,20060601 1605,1241,28,20028
275,51,20060601 1605,1029,30,20030
76,71,20060601 1607,1678,29,20029
85,86,20060601 1607,898,30,20030
15,297,20060601 1609,1058,7,20007
22,26,20060601 1609,1297,24,20024
152,69,20060601 1611,878,29,20029
9,74,20060601 1612,923,25,20025
69,387,20060601 1613,838,17,20017
73,37,20060601 1613,1505,21,20021
220,186,20060601 1614,1139,24,20024
