From,To,Datetime,Duration(seconds),Cell Tower,ID
28,227,20060608 0002,953,22,20022
291,204,20060608 0009,1217,28,20028
387,267,20060608 0018,1133,28,20028
379,317,20060608 0019,1078,24,20024
244,309,20060608 0027,1268,1,20001
167,236,20060608 0032,820,15,20015
132,20,20060608 0042,1021,22,20022
7,248,20060608 0057,563,29,20029
220,186,20060608 0106,839,24,20024
138,321,20060608 0113,1240,29,20029
63,309,20060608 0116,1644,11,20011
132,112,20060608 0120,1122,21,20021
303,131,20060608 0130,1566,26,20026
174,221,20060608 0134,985,30,20030
109,257,20060608 0150,841,11,20011
241,80,20060608 0200,1359,28,20028
20,92,20060608 0202,764,30,20030
288,56,20060608 0207,1249,30,20030
309,185,20060608 0210,294,22,20022
356,11,20060608 0228,1779,15,20015
11,104,20060608 0230,741,30,20030
58,38,20060608 0238,1002,23,20023
134,309,20060608 0239,905,27,20027
304,23,20060608 0240,1528,29,20029
64,309,20060608 0248,1279,29,20029
315,361,20060608 0305,954,28,20028
105,306,20060608 0311,1170,28,20028
314,250,20060608 0311,1031,17,20017
36,53,20060608 0312,1503,28,20028
146,219,20060608 0316,1674,1,20001
178,23,20060608 0328,624,11,20011
199,280,20060608 0328,1391,14,20014
179,0,20060608 0334,1123,8,20008
9,277,20060608 0335,1190,25,20025
370,49,20060608 0338,1263,1,20001
192,151,20060608 0340,639,11,20011
193,42,20060608 0349,1274,22,20022
43,4,20060608 0351,811,15,20015
376,20,20060608 0352,1073,13,20013
76,71,20060608 0354,1045,29,20029
259,119,20060608 0354,1208,30,20030
37,73,20060608 0356,1190,17,20017
397,32,20060608 0402,790,20,20020
190,266,20060608 0406,1110,29,20029
8,309,20060608 0407,952,11,20011
191,178,20060608 0407,711,22,20022
143,52,20060608 0409,902,28,20028
360,295,20060608 0409,1154,30,20030
252,54,20060608 0412,1200,29,20029
43,4,20060608 0413,1185,15,20015
72,35,20060608 0417,1245,17,20017
359,118,20060608 0418,764,21,20021
268,300,20060608 0425,1013,11,20011
176,54,20060608 0426,1053,18,20018
312,275,20060608 0430,1170,29,20029
285,8,20060608 0431,826,30,20030
318,229,20060608 0436,682,11,20011
370,274,20060608 0440,1607,1,20001
369,174,20060608 0442,836,22,20022
145,0,20060608 0444,1379,28,20028
300,306,20060608 0447,994,28,20028
143,117,20060608 0454,729,28,20028
210,367,20060608 0455,695,27,20027
224,71,20060608 0505,1357,24,20024
9,251,20060608 0507,1138,25,20025
330,275,20060608 0512,473,27,20027
190,266,20060608 0519,588,29,20029
69,387,20060608 0525,1859,17,20017
250,314,20060608 0525,1009,29,20029
167,236,20060608 0527,1183,15,20015
282,199,20060608 0528,1144,19,20019
161,6,20060608 0541,1733,30,20030
19,20,20060608 0542,984,30,20030
328,360,20060608 0547,1271,30,20030
180,306,20060608 0549,782,10,20010
336,248,20060608 0553,1434,30,20030
75,35,20060608 0554,1043,17,20017
79,169,20060608 0558,770,16,20016
134,363,20060608 0558,1226,27,20027
165,309,20060608 0603,1142,29,20029
109,0,20060608 0606,548,11,20011
92,231,20060608 0610,1081,30,20030
335,65,20060608 0615,973,10,20010
262,19,20060608 0626,1189,14,20014
146,243,20060608 0634,1238,1,20001
109,257,20060608 0635,703,11,20011
358,30,20060608 0637,1376,30,20030
77,285,20060608 0639,1214,11,20011
186,220,20060608 0639,1375,22,20022
74,44,20060608 0643,1140,28,20028
155,17,20060608 0646,868,28,20028
266,30,20060608 0657,1065,11,20011
34,165,20060608 0700,879,15,20015
138,21,20060608 0714,883,29,20029
277,9,20060608 0717,975,28,20028
343,309,20060608 0723,508,30,20030
227,309,20060608 0729,1019,29,20029
165,203,20060608 0731,1768,29,20029
88,53,20060608 0740,1215,29,20029
156,101,20060608 0742,1110,20,20020
76,52,20060608 0743,769,11,20011
246,16,20060608 0751,1214,17,20017
356,11,20060608 0757,1370,15,20015
90,110,20060608 0800,1391,30,20030
140,120,20060608 0801,587,11,20011
56,309,20060608 0802,807,28,20028
67,41,20060608 0803,988,16,20016
203,165,20060608 0803,970,20,20020
286,137,20060608 0803,395,11,20011
220,277,20060608 0804,849,24,20024
255,10,20060608 0804,1511,28,20028
377,92,20060608 0804,769,11,20011
184,306,20060608 0805,1151,13,20013
56,163,20060608 0809,797,22,20022
321,138,20060608 0809,739,16,20016
29,188,20060608 0815,1265,25,20025
130,14,20060608 0815,989,8,20008
149,144,20060608 0816,598,21,20021
398,15,20060608 0816,1216,11,20011
306,300,20060608 0817,1263,30,20030
28,239,20060608 0818,1199,22,20022
233,53,20060608 0818,1228,11,20011
377,117,20060608 0818,716,28,20028
99,309,20060608 0819,1437,28,20028
386,247,20060608 0819,887,11,20011
220,277,20060608 0820,1689,24,20024
292,309,20060608 0820,1140,13,20013
292,376,20060608 0821,549,13,20013
321,138,20060608 0821,629,16,20016
178,133,20060608 0823,1726,11,20011
130,14,20060608 0824,1149,28,20028
318,229,20060608 0825,1008,11,20011
214,140,20060608 0826,1524,29,20029
360,328,20060608 0826,1290,30,20030
39,14,20060608 0827,825,10,20010
98,78,20060608 0827,797,1,20001
199,280,20060608 0827,1100,16,20016
209,13,20060608 0827,665,29,20029
157,306,20060608 0828,1193,1,20001
369,174,20060608 0828,913,22,20022
269,41,20060608 0829,1127,6,20006
187,51,20060608 0831,1219,30,20030
160,25,20060608 0832,1012,22,20022
75,128,20060608 0833,738,17,20017
398,204,20060608 0835,887,11,20011
397,35,20060608 0836,1044,20,20020
107,306,20060608 0837,1307,28,20028
218,15,20060608 0837,887,30,20030
95,19,20060608 0838,1568,27,20027
154,61,20060608 0840,1025,13,20013
359,96,20060608 0840,1106,21,20021
352,360,20060608 0841,1814,29,20029
17,162,20060608 0842,872,23,20023
181,19,20060608 0842,1023,15,20015
222,319,20060608 0842,772,3,20003
357,158,20060608 0842,1271,25,20025
84,397,20060608 0843,1298,11,20011
336,248,20060608 0844,1516,30,20030
387,267,20060608 0844,1209,28,20028
209,238,20060608 0845,1072,28,20028
304,23,20060608 0845,695,29,20029
88,53,20060608 0846,945,29,20029
196,368,20060608 0847,1135,11,20011
342,309,20060608 0847,1106,29,20029
17,382,20060608 0848,1221,20,20020
84,33,20060608 0848,1069,28,20028
157,306,20060608 0848,1071,1,20001
228,92,20060608 0848,1225,13,20013
240,251,20060608 0848,917,30,20030
301,0,20060608 0848,1728,17,20017
119,92,20060608 0850,1169,20,20020
291,194,20060608 0851,1007,28,20028
285,8,20060608 0852,542,30,20030
289,397,20060608 0852,1364,7,20007
62,20,20060608 0854,601,24,20024
364,260,20060608 0854,926,24,20024
350,382,20060608 0856,938,24,20024
355,0,20060608 0856,846,28,20028
10,255,20060608 0901,981,30,20030
41,67,20060608 0901,1171,28,20028
13,96,20060608 0908,1131,13,20013
125,27,20060608 0908,881,29,20029
188,29,20060608 0908,747,29,20029
336,248,20060608 0908,1339,30,20030
300,360,20060608 0909,1258,29,20029
204,93,20060608 0910,883,13,20013
0,306,20060608 0911,1074,7,20007
95,7,20060608 0912,756,27,20027
201,18,20060608 0912,1270,11,20011
255,87,20060608 0912,1333,28,20028
318,229,20060608 0912,879,29,20029
163,56,20060608 0913,1412,22,20022
224,71,20060608 0913,834,24,20024
266,389,20060608 0913,694,29,20029
125,94,20060608 0914,328,29,20029
269,240,20060608 0914,1485,6,20006
150,67,20060608 0915,541,29,20029
233,53,20060608 0915,1262,11,20011
391,18,20060608 0917,1183,30,20030
201,306,20060608 0918,1011,11,20011
231,47,20060608 0918,1490,29,20029
196,118,20060608 0919,1374,11,20011
336,6,20060608 0919,1241,30,20030
330,275,20060608 0920,1220,27,20027
270,170,20060608 0921,1523,15,20015
278,239,20060608 0922,632,23,20023
317,123,20060608 0922,1280,30,20030
7,248,20060608 0923,929,29,20029
282,199,20060608 0925,963,19,20019
293,305,20060608 0926,1341,22,20022
221,174,20060608 0927,1178,20,20020
293,37,20060608 0927,1371,22,20022
125,94,20060608 0928,988,29,20029
34,360,20060608 0929,956,15,20015
89,14,20060608 0930,758,11,20011
288,397,20060608 0930,622,30,20030
353,89,20060608 0930,221,28,20028
360,309,20060608 0930,1518,30,20030
231,47,20060608 0931,1192,29,20029
158,338,20060608 0933,1592,22,20022
290,92,20060608 0933,967,18,20018
68,397,20060608 0937,1095,28,20028
117,268,20060608 0938,1397,28,20028
189,384,20060608 0938,821,11,20011
267,306,20060608 0938,1517,30,20030
303,13,20060608 0938,1538,26,20026
123,212,20060608 0939,998,25,20025
324,18,20060608 0939,774,22,20022
307,84,20060608 0942,1042,7,20007
41,269,20060608 0945,778,28,20028
65,32,20060608 0945,1032,28,20028
357,158,20060608 0945,1013,25,20025
199,280,20060608 0947,1190,14,20014
250,314,20060608 0947,1377,29,20029
287,213,20060608 0948,635,11,20011
296,227,20060608 0948,1562,11,20011
49,26,20060608 0949,746,11,20011
136,254,20060608 0950,1264,10,20010
163,44,20060608 0954,1510,22,20022
181,15,20060608 0954,1204,15,20015
128,14,20060608 0956,1242,11,20011
322,146,20060608 0956,1409,30,20030
175,158,20060608 0957,889,30,20030
312,275,20060608 0959,1421,29,20029
67,150,20060608 1000,646,16,20016
58,38,20060608 1001,596,23,20023
319,225,20060608 1002,1116,11,20011
9,251,20060608 1008,1358,25,20025
167,290,20060608 1008,1163,15,20015
244,309,20060608 1008,1146,1,20001
152,37,20060608 1009,937,22,20022
246,306,20060608 1010,1422,17,20017
247,261,20060608 1010,746,22,20022
90,360,20060608 1014,831,30,20030
10,23,20060608 1015,1568,30,20030
197,368,20060608 1015,1583,29,20029
335,65,20060608 1017,693,10,20010
370,274,20060608 1018,400,1,20001
295,26,20060608 1022,1416,30,20030
386,247,20060608 1022,509,11,20011
229,318,20060608 1025,1109,15,20015
29,188,20060608 1026,1194,25,20025
265,24,20060608 1026,797,25,20025
35,17,20060608 1027,1620,15,20015
216,309,20060608 1028,1530,29,20029
244,287,20060608 1029,1332,1,20001
261,247,20060608 1029,1160,11,20011
116,16,20060608 1031,892,30,20030
362,309,20060608 1032,1114,28,20028
197,4,20060608 1033,1133,29,20029
149,144,20060608 1036,799,21,20021
59,11,20060608 1037,941,11,20011
118,196,20060608 1037,1352,30,20030
20,151,20060608 1038,964,30,20030
249,138,20060608 1038,1049,28,20028
377,92,20060608 1038,1145,28,20028
360,40,20060608 1040,848,28,20028
320,192,20060608 1041,1026,28,20028
356,61,20060608 1041,924,15,20015
241,23,20060608 1042,782,28,20028
386,247,20060608 1045,1130,28,20028
59,113,20060608 1046,947,11,20011
33,397,20060608 1048,831,29,20029
233,53,20060608 1048,454,11,20011
247,103,20060608 1048,725,22,20022
397,300,20060608 1048,957,29,20029
241,80,20060608 1050,1072,28,20028
147,26,20060608 1055,771,28,20028
160,205,20060608 1055,1286,22,20022
62,32,20060608 1057,458,24,20024
139,318,20060608 1058,1309,24,20024
30,294,20060608 1101,677,18,20018
300,306,20060608 1102,1151,29,20029
292,309,20060608 1103,1470,13,20013
33,397,20060608 1104,954,28,20028
99,309,20060608 1106,890,28,20028
151,20,20060608 1108,752,6,20006
164,38,20060608 1109,970,30,20030
194,306,20060608 1110,917,19,20019
220,306,20060608 1111,956,24,20024
228,92,20060608 1111,634,13,20013
259,148,20060608 1111,470,30,20030
375,172,20060608 1111,1173,29,20029
175,158,20060608 1112,1080,30,20030
177,75,20060608 1115,884,22,20022
343,309,20060608 1115,1736,30,20030
87,309,20060608 1116,943,11,20011
266,30,20060608 1117,917,11,20011
53,88,20060608 1120,798,28,20028
383,92,20060608 1121,912,10,20010
78,98,20060608 1122,889,16,20016
212,123,20060608 1122,875,28,20028
354,52,20060608 1122,960,30,20030
187,51,20060608 1123,1015,30,20030
365,62,20060608 1123,1614,21,20021
105,306,20060608 1128,1276,11,20011
266,389,20060608 1128,1284,11,20011
235,158,20060608 1130,1335,23,20023
71,224,20060608 1132,1168,28,20028
99,309,20060608 1133,823,29,20029
98,7,20060608 1134,1046,10,20010
360,300,20060608 1134,924,30,20030
79,10,20060608 1136,1435,11,20011
154,202,20060608 1136,1459,13,20013
171,95,20060608 1136,811,27,20027
197,4,20060608 1136,859,29,20029
278,239,20060608 1136,1727,23,20023
109,13,20060608 1138,453,11,20011
153,309,20060608 1138,858,10,20010
197,309,20060608 1139,1122,29,20029
317,30,20060608 1140,1679,30,20030
196,368,20060608 1141,1447,11,20011
105,306,20060608 1143,997,28,20028
217,296,20060608 1143,1206,6,20006
331,134,20060608 1146,1575,11,20011
46,12,20060608 1147,1027,30,20030
48,129,20060608 1147,1203,28,20028
178,191,20060608 1147,953,11,20011
316,52,20060608 1147,1354,18,20018
110,83,20060608 1148,1353,30,20030
50,34,20060608 1150,947,11,20011
138,149,20060608 1150,1169,29,20029
161,6,20060608 1151,631,30,20030
223,160,20060608 1151,1571,30,20030
333,109,20060608 1152,1423,8,20008
159,7,20060608 1155,1100,11,20011
288,56,20060608 1155,1507,30,20030
118,55,20060608 1157,1631,30,20030
187,51,20060608 1157,533,30,20030
335,65,20060608 1157,905,10,20010
394,199,20060608 1159,639,10,20010
260,364,20060608 1201,782,28,20028
292,96,20060608 1201,1286,13,20013
321,138,20060608 1202,745,16,20016
147,306,20060608 1203,832,28,20028
178,191,20060608 1203,1242,11,20011
235,161,20060608 1204,956,23,20023
310,61,20060608 1206,1053,28,20028
84,397,20060608 1207,2032,11,20011
350,305,20060608 1207,886,24,20024
48,154,20060608 1210,597,28,20028
265,24,20060608 1211,934,29,20029
170,190,20060608 1212,1469,23,20023
128,75,20060608 1214,837,11,20011
163,56,20060608 1215,1164,22,20022
354,52,20060608 1215,1608,30,20030
252,54,20060608 1217,648,29,20029
17,162,20060608 1219,1299,23,20023
51,56,20060608 1219,854,11,20011
278,239,20060608 1219,993,23,20023
299,260,20060608 1220,1286,29,20029
199,13,20060608 1221,844,14,20014
341,112,20060608 1221,816,20,20020
67,19,20060608 1222,990,16,20016
311,37,20060608 1222,1626,25,20025
95,7,20060608 1223,1237,27,20027
344,389,20060608 1223,873,27,20027
355,14,20060608 1223,749,28,20028
56,288,20060608 1224,1294,22,20022
127,53,20060608 1224,852,20,20020
153,66,20060608 1224,1293,10,20010
83,110,20060608 1225,1268,30,20030
359,118,20060608 1225,885,21,20021
257,27,20060608 1226,986,30,20030
146,9,20060608 1227,1134,1,20001
160,223,20060608 1227,1500,22,20022
132,112,20060608 1228,903,22,20022
51,293,20060608 1229,1344,26,20026
76,52,20060608 1230,1300,29,20029
344,136,20060608 1230,1311,27,20027
382,350,20060608 1231,1094,15,20015
235,158,20060608 1232,1179,23,20023
328,360,20060608 1232,837,30,20030
280,41,20060608 1233,1055,29,20029
237,309,20060608 1234,977,20,20020
72,35,20060608 1235,947,17,20017
90,326,20060608 1237,1491,30,20030
11,356,20060608 1238,982,30,20030
157,306,20060608 1238,988,1,20001
190,266,20060608 1239,821,29,20029
285,8,20060608 1239,1569,30,20030
309,185,20060608 1239,931,11,20011
314,250,20060608 1240,1126,17,20017
72,35,20060608 1241,638,17,20017
321,138,20060608 1241,1068,16,20016
321,138,20060608 1242,1014,16,20016
151,309,20060608 1245,930,6,20006
162,207,20060608 1245,774,30,20030
170,360,20060608 1245,902,23,20023
277,9,20060608 1245,959,28,20028
364,113,20060608 1245,818,24,20024
314,250,20060608 1246,1086,17,20017
174,369,20060608 1249,1192,30,20030
222,319,20060608 1250,1156,30,20030
398,204,20060608 1252,1572,28,20028
351,38,20060608 1253,1425,28,20028
99,56,20060608 1254,988,28,20028
218,97,20060608 1254,1013,30,20030
47,167,20060608 1258,815,28,20028
145,0,20060608 1259,873,29,20029
147,306,20060608 1300,727,28,20028
152,69,20060608 1300,960,29,20029
268,117,20060608 1300,650,11,20011
317,123,20060608 1300,1381,30,20030
8,309,20060608 1301,1255,11,20011
28,306,20060608 1301,1412,22,20022
134,256,20060608 1306,634,27,20027
156,101,20060608 1308,1099,20,20020
301,0,20060608 1308,1346,17,20017
204,90,20060608 1309,883,13,20013
270,170,20060608 1310,1026,15,20015
48,395,20060608 1311,1345,28,20028
348,306,20060608 1311,510,23,20023
233,42,20060608 1314,918,29,20029
218,97,20060608 1315,1388,30,20030
394,199,20060608 1315,1638,10,20010
66,159,20060608 1317,787,28,20028
104,11,20060608 1320,-145,26,20026
41,73,20060608 1325,1220,28,20028
315,32,20060608 1328,1073,28,20028
30,317,20060608 1330,1010,18,20018
48,397,20060608 1332,1608,28,20028
240,269,20060608 1333,838,30,20030
348,163,20060608 1333,1555,23,20023
34,360,20060608 1334,1195,15,20015
97,211,20060608 1336,1059,22,20022
63,309,20060608 1337,342,29,20029
139,360,20060608 1338,1416,24,20024
82,49,20060608 1339,1141,15,20015
309,306,20060608 1339,1130,7,20007
391,211,20060608 1339,954,30,20030
